’	'	ἒ	e)\	x--------
Αἴσιμος	*ai)/simos	Αἴσιμος	*ai)/simos	n-s---mn-
Αἴσιμος	*ai)/simos	αἴσιμος	ai)/simos	a-s---mn-
Αἴσιμος	*ai)/simos	αἴσιμος	ai)/simos	n-s---mn-
Αἴσιμος	*ai)/simos	αἴσιμος	ai)/simos	n-s---fn-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---ng-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---mg-
Βακχίου	*bakxi/ou	Βάκχειος	*ba/kxeios	a-s---ng-
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	v3siia---
Βακχίου	*bakxi/ou	Βακχιόω	*bakxio/w	v2spma---
Βλέπυρος	*ble/puros	Βλέπυρος	*ble/puros	n-s---mn-
Γευσιστράτην	*geusistra/thn	Γευσιστράτη	*geusistra/th	n-s---fa-
Γλύκη	*glu/kh	Γλύκη	*glu/kh	n-s---fn-
Γλύκη	*glu/kh	Γλύκη	*glu/kh	n-s---fv-
Γέρης	*ge/rhs	Γέρας	*ge/ras	n-s---mn-
Γέρων	*ge/rwn	Γέρων	*ge/rwn	n-s---mn-
Γέρων	*ge/rwn	γέρων	ge/rwn	n-s---mn-
Δαρεικούς	*dareikou/s	Δαρεικός	*dareiko/s	a-p---ma-
Δαρεικούς	*dareikou/s	Δαρεικός	*dareiko/s	a-p---ma-
Διομήδειά	*diomh/deia/	Διομήδειος	*diomh/deios	a-p---nn-
Διομήδειά	*diomh/deia/	Διομήδειος	*diomh/deios	a-p---nv-
Διομήδειά	*diomh/deia/	Διομήδειος	*diomh/deios	a-p---na-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mn-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mv-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---ma-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-s---mg-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mn-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---mv-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-d---ma-
Διοσκόρω	*diosko/rw	Διόσκοροι	*dio/skoroi	n-s---mg-
Διοσκόρω	*diosko/rw	Διοσκόρος	*diosko/ros	n-s---mg-
Διόνυσον	*dio/nuson	Διόνυσος	*dio/nusos	n-s---ma-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δράκης	*dra/khs	Δράκης	*dra/khs	n-p---ma-
Δράκης	*dra/khs	Δράκης	*dra/khs	n-p---mn-
Δράκης	*dra/khs	Δράκης	*dra/khs	n-p---mv-
Δράκης	*dra/khs	Δράκης	*dra/khs	n-s---mn-
Δράκης	*dra/khs	δέρκομαι	de/rkomai	v2saip---
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fa-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fd-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fv-
Δί	*di/	Ζεύς	*zeu/s	n-s---md-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Εἰλείθυια	*ei)lei/quia	Εἰλείθυια	*ei)lei/quia	n-s---fn-
Εἰλείθυια	*ei)lei/quia	Εἰλείθυια	*ei)lei/quia	n-s---fv-
Εἰλείθυια	*ei)lei/quia	Εἰλείθυιον	*ei)lei/quion	n-p---nn-
Εἰλείθυια	*ei)lei/quia	Εἰλείθυιον	*ei)lei/quion	n-p---nv-
Εἰλείθυια	*ei)lei/quia	Εἰλείθυιον	*ei)lei/quion	n-p---na-
Εὐαίων	*eu)ai/wn	Εὐαῖοι	*eu)ai=oi	n-p---mg-
Εὐαίων	*eu)ai/wn	εὐαής	eu)ah/s	n-p---mg-
Εὐαίων	*eu)ai/wn	εὐαής	eu)ah/s	n-p---fg-
Εὐαίων	*eu)ai/wn	εὐαής	eu)ah/s	n-p---ng-
Εὐαίων	*eu)ai/wn	εὐαίων	eu)ai/wn	n-s---mn-
Εὐαίων	*eu)ai/wn	εὐαίων	eu)ai/wn	n-s---mv-
Εὐαίων	*eu)ai/wn	εὐαίων	eu)ai/wn	n-s---fn-
Εὐαίων	*eu)ai/wn	εὐαίων	eu)ai/wn	n-s---fv-
Εὐριπίδην	*eu)ripi/dhn	Εὐριπίδης	*eu)ripi/dhs	n-s---ma-
Εὐριπίδην	*eu)ripi/dhn	εὐριπίδης	eu)ripi/dhs	n-s---ma-
Εὐριπίδης	*eu)ripi/dhs	Εὐριπίδης	*eu)ripi/dhs	n-s---mn-
Εὐριπίδης	*eu)ripi/dhs	εὐριπίδης	eu)ripi/dhs	n-s---mn-
Ζεύς	*zeu/s	Ζεύς	*zeu/s	n-s---mn-
Ζεῦ	*zeu=	Ζεύς	*zeu/s	n-s---mv-
Ζεῦ	*zeu=	ζέω	ze/w	v2spme---
Ζεῦ	*zeu=	ζέω	ze/w	v2siie---
Θεσμοφόρι’	*qesmofo/ri'	θεσμοφόριον	qesmofo/rion	n-p---nn-
Θεσμοφόρι’	*qesmofo/ri'	θεσμοφόριον	qesmofo/rion	n-p---nv-
Θεσμοφόρι’	*qesmofo/ri'	θεσμοφόριον	qesmofo/rion	n-p---na-
Θεσμοφόρι’	*qesmofo/ri'	θεσμοφόριος	qesmofo/rios	n-s---mv-
Θεσμοφόροιν	*qesmofo/roin	θεσμοφόρος	qesmofo/ros	n-d---mg-
Θεσμοφόροιν	*qesmofo/roin	θεσμοφόρος	qesmofo/ros	n-d---md-
Θεσμοφόροιν	*qesmofo/roin	θεσμοφόρος	qesmofo/ros	n-d---fg-
Θεσμοφόροιν	*qesmofo/roin	θεσμοφόρος	qesmofo/ros	n-d---fd-
Θεσμοφόροιν	*qesmofo/roin	θεσμοφόρος	qesmofo/ros	n-d---ng-
Θεσμοφόροιν	*qesmofo/roin	θεσμοφόρος	qesmofo/ros	n-d---nd-
Θρασύβουλος	*qrasu/boulos	Θρασύβουλος	*qrasu/boulos	n-s---mn-
Θρασύβουλος	*qrasu/boulos	θρασύβουλος	qrasu/boulos	n-s---mn-
Θρασύβουλος	*qrasu/boulos	θρασύβουλος	qrasu/boulos	n-s---fn-
Θάσι’	*qa/si'	Θάσιος	*qa/sios	a-p---nn-
Θάσι’	*qa/si'	Θάσιος	*qa/sios	a-p---nv-
Θάσι’	*qa/si'	Θάσιος	*qa/sios	a-p---na-
Θάσι’	*qa/si'	Θάσιος	*qa/sios	a-s---mv-
Θάσι’	*qa/si'	Θάσιος	*qa/sios	a-p---fn-
Θάσι’	*qa/si'	Θάσιος	*qa/sios	a-p---fv-
Καλλίμαχος	*kalli/maxos	Καλλίμαχος	*kalli/maxos	n-s---mn-
Καλλίμαχος	*kalli/maxos	καλλίμαχος	kalli/maxos	n-s---mn-
Καλλίμαχος	*kalli/maxos	καλλίμαχος	kalli/maxos	n-s---fn-
Καλλίου	*kalli/ou	Κάλλιον	*ka/llion	n-s---ng-
Καλλίου	*kalli/ou	Καλλίας	*kalli/as	n-s---mg-
Καλλίου	*kalli/ou	καλλίας	kalli/as	n-s---mg-
Καλλίου	*kalli/ou	καλλιόω	kallio/w	v2spma---
Καλλίου	*kalli/ou	καλλιόω	kallio/w	v3siia---
Καννωνοῦ	*kannwnou=	Καννωνός	*kannwno/s	n-s---mg-
Κινησίας	*kinhsi/as	Κινησίας	*kinhsi/as	n-p---ma-
Κινησίας	*kinhsi/as	Κινησίας	*kinhsi/as	n-s---mn-
Κλειναρέτην	*kleinare/thn	Κλειναρέτη	*kleinare/th	n-s---fa-
Κορινθίοις	*korinqi/ois	Κορίνθιος	*kori/nqios	a-p---md-
Κορινθίοις	*korinqi/ois	Κορίνθιος	*kori/nqios	a-p---nd-
Κορύβαντες	*koru/bantes	Κορύβασ-πλ	*koru/bas-pl	n-p---mn-
