Αἰγέως	*ai)geu/s	none-found	n-s---mg-
Αἰγέως	*ai)geu/s	none-found	n-s---mg-
Αἰγέως	*ai)geu/s	none-found	n-s---mn-
Δίρκας	*di/rkh	none-found	n-p---fa-
Δίρκας	*di/rkh	none-found	n-s---fg-
Εὐρυτίων	*eu)ruti/wn	none-found	n-s---mn-
Εὐρυτίων	*eu)ruti/wn	none-found	n-s---mv-
Θήβας	*qh/bh	none-found	n-s---fg-
Κεκροπίαν	*kekro/pios	none-found	a-s---fa-
Κεκροπίαν	*kekropi/a	none-found	n-s---fa-
Κορυβάντων	*koru/bas-pl	none-found	n-p---mg-
Κρησία	*krh/sios	none-found	a-d---fn-
Κρησία	*krh/sios	none-found	a-d---fv-
Κρησία	*krh/sios	none-found	a-d---fa-
Κρησία	*krh/sios	none-found	a-s---fn-
Κρησία	*krh/sios	none-found	a-s---fv-
Κρησίας	*krh/sios	none-found	a-p---fa-
Κρησίας	*krh/sios	none-found	a-s---fg-
Κρησίους	*krh/sios	none-found	a-p---ma-
Λίμνας	*li/mnai	none-found	n-p---fa-
Πανδίονος	*pandi/wn	none-found	n-s---mg-
Πελοπίας	*pelopi/h	none-found	n-p---fa-
Πελοπίας	*pelopi/h	none-found	n-s---fg-
Πιτθεῖ	*pitqeu/s	none-found	n-s---md-
Πιτθέως	*pitqeu/s	none-found	n-s---mg-
Πιτθέως	*pitqeu/s	none-found	n-s---mg-
Πιτθέως	*pitqeu/s	none-found	n-s---mn-
Σαρωνικόν	*sarwniko/s	none-found	a-s---ma-
Σαρωνικόν	*sarwniko/s	none-found	a-s---nn-
Σαρωνικόν	*sarwniko/s	none-found	a-s---nv-
Σαρωνικόν	*sarwniko/s	none-found	a-s---na-
Φαέθοντος	*fae/qwn	none-found	n-s---mg-
Φαίδρα	*fai/drh	none-found	n-s---fn-
Φαίδρα	*fai/drh	none-found	n-s---fv-
Φαίδρα	*fai=dras	none-found	n-s---mv-
Φαίδρα	*fai=dras	none-found	n-s---mg-
Φαίδρας	*fai/drh	none-found	n-s---fg-
Φαίδρας	*fai=dras	none-found	n-s---mn-
βοᾷ	boei/h	none-found	n-s---fd-
βοῆς	boei/h	none-found	n-s---fg-
γαυρουμένη	gauro/omai	none-found	v-sppefn-
γαυρουμένη	gauro/omai	none-found	v-sppefv-
γεγωνεῖ	gegwne/w	none-found	v2spie---
γεγωνεῖ	gegwne/w	none-found	v3spia---
γνησίων	gnhsio/w	none-found	v3piia---
γνησίων	gnhsio/w	none-found	v1siia---
διοιστέον	dioiste/os	none-found	n-s---ma-
διοιστέον	dioiste/os	none-found	n-s---fa-
διοιστέον	dioiste/os	none-found	n-s---nn-
διοιστέον	dioiste/os	none-found	n-s---nv-
διοιστέον	dioiste/os	none-found	n-s---na-
δοκῶ	doko/n	none-found	n-s---ng-
δωμάτων	dwmato/w	none-found	v3piia---
δωμάτων	dwmato/w	none-found	v1siia---
εὐφρόνως	eu)fro/nws	none-found	d--------
εὔνους	eu)/nous	none-found	n-p---mn-
εὔνους	eu)/nous	none-found	n-p---fn-
εὔνους	eu)/nous	none-found	n-s---mn-
εὔνους	eu)/nous	none-found	n-s---mv-
