Αἰξωνέα	*ai)cwne/a	Αἰξωνεύς	*ai)cwneu/s	n-s---ma-
Αἰσχίνην	*ai)sxi/nhn	Αἰσχίνης	*ai)sxi/nhs	n-s---ma-
Αἰσχίνης	*ai)sxi/nhs	Αἰσχίνης	*ai)sxi/nhs	n-s---mn-
Αἰσώπου	*ai)sw/pou	Αἴσωπος	*ai)/swpos	n-s---mg-
Αἴγιναν	*ai)/ginan	Αἴγινα	*ai)/gina	n-s---fa-
Αἴσωπον	*ai)/swpon	Αἴσωπος	*ai)/swpos	n-s---ma-
Αὐτόμενες	*au)to/menes	Αὐτομένης	*au)tome/nhs	n-s---mv-
Βδελυκλέων	*bdelukle/wn	Βδελυκλέων	*bdelukle/wn	n-s---mn-
Βδελυκλέων	*bdelukle/wn	Βδελυκλέων	*bdelukle/wn	n-s---mv-
Βρασίδᾳ	*brasi/da|	Βρασίδας	*brasi/das	n-s---md-
Βυζαντίῳ	*buzanti/w|	Βυζάντιος	*buza/ntios	a-s---md-
Βυζαντίῳ	*buzanti/w|	Βυζάντιος	*buza/ntios	a-s---nd-
Βυζαντίῳ	*buzanti/w|	Βυζάντιος	*buza/ntios	n-s---nd-
Γοργίου	*gorgi/ou	Γοργίας	*gorgi/as	n-s---mg-
Δαρδανίς	*dardani/s	Δαρδανίς	*dardani/s	n-s---fn-
Δελφοῖς	*delfoi=s	Δελφοί	*delfoi/	n-p---md-
Δερκύλον	*derku/lon	Δερκύλος	*derku/los	n-s---ma-
Δημολογοκλέων	*dhmologokle/wn	Δημολογοκλέων	*dhmologokle/wn	n-s---mn-
Δημολογοκλέων	*dhmologokle/wn	Δημολογοκλέων	*dhmologokle/wn	n-s---mv-
Διακρίων	*diakri/wn	Διάκριοι-πλ	*dia/krioi-pl	a-p---fg-
Διακρίων	*diakri/wn	Διάκριοι-πλ	*dia/krioi-pl	a-p---mg-
Διακρίων	*diakri/wn	Διάκριοι-πλ	*dia/krioi-pl	a-p---ng-
Διακρίων	*diakri/wn	Διάκριοι-πλ	*dia/krioi-pl	a-p---fg-
Διακρίων	*diakri/wn	Διάκριοι-πλ	*dia/krioi-pl	a-p---mg-
Διακρίων	*diakri/wn	Διάκριοι-πλ	*dia/krioi-pl	a-p---ng-
Διακρίων	*diakri/wn	διά-ἀκριάω	dia/-a)kria/w	v3piia---
Διακρίων	*diakri/wn	διά-ἀκριάω	dia/-a)kria/w	v1siia---
Διακρίων	*diakri/wn	διά-ἀκριάω	dia/-a)kria/w	v3piia---
Διακρίων	*diakri/wn	διά-ἀκριάω	dia/-a)kria/w	v1siia---
Διοπείθους	*diopei/qous	Διοπείθης	*diopei/qhs	n-s---mg-
Διόνυσον	*dio/nuson	Διόνυσος	*dio/nusos	n-s---ma-
Διός	*dio/s	Ζεύς	*zeu/s	n-s---mg-
Δοθιῆνι	*doqih=ni	δοθιήν	doqih/n	n-s---md-
Δρακοντίδη	*drakonti/dh	Δρακοντίδης	*drakonti/dhs	n-s---mv-
Δρακοντίδης	*drakonti/dhs	Δρακοντίδης	*drakonti/dhs	n-s---mn-
Δήμητρα	*dh/mhtra	Δημήτηρ	*dhmh/thr	n-s---fa-
Δήμητρα	*dh/mhtra	Δημήτηρ	*dhmh/thr	n-s---fn-
Δήμητρα	*dh/mhtra	Δημήτηρ	*dhmh/thr	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fa-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fv-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-s---fd-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fn-
Δήμητρ’	*dh/mhtr'	Δημήτηρ	*dhmh/thr	n-p---fv-
Δία	*di/a	Δίη	*di/h	n-s---fn-
Δία	*di/a	Δίη	*di/h	n-s---fv-
Δία	*di/a	Δίον	*di/on	n-p---nn-
Δία	*di/a	Δίον	*di/on	n-p---nv-
Δία	*di/a	Δίον	*di/on	n-p---na-
Δία	*di/a	Ζεύς	*zeu/s	n-s---ma-
Δία	*di/a	δῖος	di=os	a-d---fn-
Δία	*di/a	δῖος	di=os	a-d---fv-
Δία	*di/a	δῖος	di=os	a-d---fa-
Δία	*di/a	δῖος	di=os	a-s---fn-
Δία	*di/a	δῖος	di=os	a-s---fv-
Δίκτυννα	*di/ktunna	Δίκτυννα	*di/ktunna	n-s---fn-
Δίκτυννα	*di/ktunna	Δίκτυννα	*di/ktunna	n-s---fv-
Δῆμον	*dh=mon	Δῆμος	*dh=mos	n-s---ma-
Δῆμον	*dh=mon	δῆμος	dh=mos	n-s---ma-
Εὐεργίδης	*eu)ergi/dhs	Εὐεργίδης	*eu)ergi/dhs	n-s---mn-
Εὐριπίδης	*eu)ripi/dhs	Εὐριπίδης	*eu)ripi/dhs	n-s---mn-
