Αἰσχύλον	*ai)sxu/los	none-found	n-s---ma-
Βελλεροφόντης	*bellerofo/nths	none-found	n-s---mn-
Βοιωτίαν	*boiw/tios	none-found	a-s---fa-
Βοιωτίαν	*boiwti/a	none-found	n-s---fa-
Βοιωτίοις	*boiw/tios	none-found	a-p---md-
Βοιωτίοις	*boiw/tios	none-found	a-p---nd-
Βοιωτίους	*boiw/tios	none-found	a-p---ma-
Βοιώτιε	*boiw/tios	none-found	a-s---mv-
Βοιώτιοι	*boiw/tios	none-found	a-p---mn-
Βοιώτιοι	*boiw/tios	none-found	a-p---mv-
Βοιώτιον	*boiw/tios	none-found	a-s---ma-
Βοιώτιον	*boiw/tios	none-found	a-s---nn-
Βοιώτιον	*boiw/tios	none-found	a-s---nv-
Βοιώτιον	*boiw/tios	none-found	a-s---na-
Βοιώτιος	*boiw/tios	none-found	a-s---mn-
Γοργάσου	*go/rgasos	none-found	n-s---mg-
Γοργόνα	*gorgw/n	none-found	n-s---fa-
Γοργόν’	*gorgw/n	none-found	n-s---fa-
Γοργόν’	*gorgw/n	none-found	n-s---fd-
Γοργόν’	*gorgw/n	none-found	n-d---fn-
Γοργόν’	*gorgw/n	none-found	n-d---fv-
Γοργόν’	*gorgw/n	none-found	n-d---fa-
Γέλα	*ge/la	none-found	n-d---fn-
Γέλα	*ge/la	none-found	n-d---fv-
Γέλα	*ge/la	none-found	n-d---fa-
Γέλα	*ge/la	none-found	n-s---fn-
Γέλα	*ge/la	none-found	n-s---fv-
Δεξίθεος	*deci/qeos	none-found	n-s---mn-
Δερκέτου	*derke/ths	none-found	n-s---mg-
Διοκλέα	*diokle/hs	none-found	n-s---ma-
Διοκλέα	*diokle/hs	none-found	n-s---ma-
Διοκλέα	*dioklh=s	none-found	n-s---ma-
Δία	*di/h	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fv-
Εὐθυμένους	*eu)qume/nhs	none-found	n-s---mg-
Εὐφορίδης	*eu)fori/dhs	none-found	n-s---mn-
Θείβαθεν	*qh/bhqen	none-found	d--------
Θουκυδίδην	*qoukudi/dhs	none-found	n-s---ma-
Θουκυδίδης	*qoukudi/dhs	none-found	n-s---mn-
Θρᾳκῶν	*qra|ki/a	none-found	n-p---fg-
Θρᾴκην	*qra|ki/a	none-found	n-s---fa-
Θρᾴκης	*qra|ki/a	none-found	n-s---fg-
Θρᾴκῃ	*qra|ki/a	none-found	n-s---fd-
Θρᾷτταν	*qra=|ssa-pl	none-found	n-s---fa-
Θέογνι	*qe/ognis	none-found	n-s---mv-
Θέογνις	*qe/ognis	none-found	n-s---mn-
Καμαρίνῃ	*kama/rina	none-found	n-s---fd-
Καμαρίνῃ	*kamari=na	none-found	n-s---fd-
Καϋστρίων	*ka/u+stros	none-found	a-p---fg-
Καϋστρίων	*ka/u+stros	none-found	a-p---mg-
Καϋστρίων	*ka/u+stros	none-found	a-p---ng-
Κηφισοδήμῳ	*khfiso/dhmos	none-found	n-s---md-
Κλεινίου	*klei/nios	none-found	n-s---mg-
Κλεινίου	*kleini/as	none-found	n-s---mg-
Κλεισθένης	*kleisqe/nhs	none-found	n-p---ma-
Κλεισθένης	*kleisqe/nhs	none-found	n-p---mn-
Κλεισθένης	*kleisqe/nhs	none-found	n-p---mv-
Κλεισθένης	*kleisqe/nhs	none-found	n-s---mn-
Κλεωνύμου	*klew/numos	none-found	n-s---mg-
Κλεωνύμου	*klewnu/mhs	none-found	n-s---mg-
Κλεωνύμῳ	*klew/numos	none-found	n-s---md-
Κλέων	*kle/wn	none-found	n-s---mn-
Κλέων	*kle/wn	none-found	n-s---mv-
Κλέωνος	*kle/wn	none-found	n-s---mg-
Κοισύρας	*koisu/rh	none-found	n-p---fa-
Κοισύρας	*koisu/rh	none-found	n-s---fg-
Κραναά	*kranah/	none-found	n-s---fn-
Κραναά	*kranah/	none-found	n-s---fv-
Κραναά	*kranah/	none-found	n-d---fn-
Κραναά	*kranah/	none-found	n-d---fv-
Κραναά	*kranah/	none-found	n-d---fa-
Κρατῖνον	*krati=nos	none-found	n-s---ma-
Κρατῖνος	*krati=nos	none-found	n-s---mn-
Κτησιφῶντος	*kthsifw=n	none-found	n-s---mg-
Κτησίας	*kth/sias	none-found	n-s---mn-
Κτησίας	*kthsi/as	none-found	n-p---ma-
Κτησίας	*kthsi/as	none-found	n-s---mn-
Λακεδαιμονίους	*lakedaimo/nios	none-found	a-p---ma-
Λακεδαιμονίων	*lakedaimo/nios	none-found	a-p---fg-
Λακεδαιμονίων	*lakedaimo/nios	none-found	a-p---mg-
Λακεδαιμονίων	*lakedaimo/nios	none-found	a-p---ng-
Λακεδαιμόνιοι	*lakedaimo/nios	none-found	a-p---mn-
Λακεδαιμόνιοι	*lakedaimo/nios	none-found	a-p---mv-
Λακεδαιμόνιον	*lakedaimo/nios	none-found	a-s---ma-
Λακεδαιμόνιον	*lakedaimo/nios	none-found	a-s---nn-
Λακεδαιμόνιον	*lakedaimo/nios	none-found	a-s---nv-
Λακεδαιμόνιον	*lakedaimo/nios	none-found	a-s---na-
Λακρατείδῃ	*lakratei/dhs	none-found	n-s---md-
Ληναίῳ	*lh/naion	none-found	n-s---nd-
Ληναίῳ	*lhnai=on	none-found	n-s---nd-
Λυκῖνος	*luki=nos	none-found	n-s---mn-
Λυσίστρατός	*lusi/stratos	none-found	n-s---mn-
Λήναια	*lh/naia	none-found	n-p---nn-
Λήναια	*lh/naia	none-found	n-p---nv-
Λήναια	*lh/naia	none-found	n-p---na-
Λήναια	*lh/naion	none-found	n-p---nn-
Λήναια	*lh/naion	none-found	n-p---nv-
Λήναια	*lh/naion	none-found	n-p---na-
Μαριλάδη	*marila/dhs	none-found	n-s---mv-
Μαρψίας	*maryi/as	none-found	n-p---ma-
Μαρψίας	*maryi/as	none-found	n-s---mn-
Μοῦσα	*mou=sai	none-found	n-s---fn-
Μοῦσα	*mou=sai	none-found	n-s---fv-
Μοῦσα	*mou=sai	none-found	n-s---fn-
Μοῦσα	*mou=sai	none-found	n-s---fv-
Νίκαρχος	*ni/karxos	none-found	n-s---mn-
