Βλεψίδημον	*bleyi/dhmos	none-found	n-s---ma-
Βλεψίδημ’	*bleyi/dhmos	none-found	n-s---mv-
Δεξίνικός	*deci/nikos	none-found	n-s---mn-
Δία	*di/h	none-found	n-s---fn-
Δία	*di/h	none-found	n-s---fv-
Εὐδάμου	*eu)/damos	none-found	n-s---mg-
Θετταλίας	*qessali/h	none-found	n-p---fa-
Θετταλίας	*qessali/h	none-found	n-s---fg-
Θησείοις	*qhsei=a	none-found	n-p---nd-
Θησείοις	*qhsei=os	none-found	a-p---md-
Θησείοις	*qhsei=os	none-found	a-p---nd-
Λαΐς	*lai/s	none-found	n-p---fa-
Λαΐς	*lai/s	none-found	n-s---fn-
Λαΐς	*lai/s	none-found	n-s---fn-
Νεοκλείδην	*neoklei/dhs	none-found	n-s---ma-
Νεοκλείδης	*neoklei/dhs	none-found	n-s---mn-
Νεοκλείδῃ	*neoklei/dhs	none-found	n-s---md-
Πατροκλέους	*pa/troklos-pl	none-found	n-s---mg-
Παύσωνα	*pau/swn	none-found	n-s---ma-
Σφηττίῳ	*sfh/ttios	none-found	n-s---md-
Τηνίων	*th/nios	none-found	a-p---fg-
Τηνίων	*th/nios	none-found	a-p---mg-
Τηνίων	*th/nios	none-found	a-p---ng-
Τιμοθέου	*timo/qeos	none-found	n-s---mg-
Φιλωνίδου	*filwni/dhs	none-found	n-s---mg-
Χρεμύλος	*xremu/los	none-found	n-s---mn-
αὐχμῶν	au)xma/w	none-found	v-sppamv-
αὐχμῶν	au)xma/w	none-found	v-sppann-
αὐχμῶν	au)xma/w	none-found	v-sppanv-
αὐχμῶν	au)xma/w	none-found	v-sppana-
αὐχμῶν	au)xma/w	none-found	v-sppamn-
αὐχμῶν	au)xma/w	none-found	v-sppamn-
βοᾶν	boei/h	none-found	n-s---fa-
γρυλίζοντες	gruli/zw	none-found	v-pppamn-
γρυλίζοντες	gruli/zw	none-found	v-pppamv-
δοκῶ	doko/n	none-found	n-s---ng-
δοκῶν	doko/n	none-found	n-p---ng-
εὔνους	eu)/nous	none-found	n-p---mn-
εὔνους	eu)/nous	none-found	n-p---fn-
εὔνους	eu)/nous	none-found	n-s---mn-
εὔνους	eu)/nous	none-found	n-s---mv-
εὔνους	eu)/nous	none-found	n-s---fn-
εὔνους	eu)/nous	none-found	n-s---fv-
καθωσιώθη	kaqosio/omai	none-found	v3saip---
καθίστησιν	kaqista/w	none-found	v3spia---
κακῶν	kaka/zw	none-found	v-sfpamv-
κακῶν	kaka/zw	none-found	v-sfpann-
κακῶν	kaka/zw	none-found	v-sfpanv-
κακῶν	kaka/zw	none-found	v-sfpana-
κακῶν	kaka/zw	none-found	v-sfpamn-
καταπαρδεῖν	para/-dei=	none-found	v-spp-nn-
καταπαρδεῖν	para/-dei=	none-found	v-spp-nv-
καταπαρδεῖν	para/-dei=	none-found	v-spp-na-
καταπαρδεῖν	para/-dei=	none-found	v--pna---
καίτοι	kai/toi	none-found	g--------
κοτίνου	ko/tinon	none-found	n-s---ng-
κοτίνῳ	ko/tinon	none-found	n-s---nd-
κρεμῶμεν	krema/zw	none-found	v1pfia---
κρεμῶμεν	kremo/w	none-found	v1ppsa---
κρεμῶμεν	kremo/w	none-found	v1ppia---
κάτω	kato/w	none-found	v2spma---
κάτω	kato/w	none-found	v3siia---
λεκιθόπωλιν	lekiqo/pwlis	none-found	n-s---fa-
λούμενος	lo/w	none-found	v-sppemn-
μάλιστα	ma/lista	none-found	d--------
μάλιστ’	ma/lista	none-found	d--------
οὑτωσί	ou(twsi/	none-found	d--------
οὔθ’	ou)/ti	none-found	d--------
οὔτ’	ou)/ti	none-found	d--------
παιδιάν	paidih/	none-found	n-s---fa-
παιδίων	pai/dios	none-found	n-p---mg-
παρεκαθέζετο	para/-kaqe/zomai	none-found	v3siim---
παρείας	parei/hs	none-found	n-p---ma-
παρείας	parei/hs	none-found	n-s---mn-
παρείην	parei/hs	none-found	n-s---ma-
πιθοῦ	piqe/w	none-found	v2spme---
πριάμενος	pri/amai	none-found	v-sppmmn-
σιτεῖσθαι	site/omai	none-found	v--pne---
σοῦ	se/w	none-found	v2spme---
σοῦ	se/w	none-found	v2siie---
συμπαραμιγνύων	sumparamignu/w	none-found	v-sppamn-
συνεκποτέ’	sunekpote/o	none-found	v2spme---
συνεκποτέ’	sunekpote/ai	none-found	v2spie---
συνεκποτέ’	sunekpote/o	none-found	v2siie---
συνεκποτέ’	su/n-e)kpota/omai	none-found	v2spme---
συνεκποτέ’	su/n-e)kpota/omai	none-found	v2spme---
συνεκποτέ’	su/n-e)kpota/omai	none-found	v2spie---
συνεκποτέ’	su/n-e)kpota/omai	none-found	v2spie---
συνεκποτέ’	su/n-e)kpota/omai	none-found	v2siie---
συνεκποτέ’	su/n-e)kpota/omai	none-found	v2siie---
συνεχειμάζετο	sugxeima/zomai	none-found	v3siie---
σωθείς	sw/zw	none-found	v-sappmn-
σωθείς	sw/zw	none-found	v-sappmv-
σάκταν	sa/kths	none-found	n-s---ma-
σάκταν	sa/kths	none-found	n-s---ma-
σέβοντας	se/bw	none-found	v-pppama-
ταύτῃ	tau/th|	none-found	d--------
τράγοι	tra/gw	none-found	v3spoa---
τράγον	tra/gw	none-found	v-sppamv-
τράγον	tra/gw	none-found	v-sppann-
τράγον	tra/gw	none-found	v-sppanv-
τράγον	tra/gw	none-found	v-sppana-
τράγον	tra/gw	none-found	v3piia---
τράγον	tra/gw	none-found	v1siia---
τράγου	tra/gw	none-found	v2spme---
τράγου	tra/gw	none-found	v2siie---
